"";"vuosi";"atyyppi";"atyyppi_tp";"amma3";"N"
"1";1995;"ms";"ms";"sotilaat";443
"2";1995;"ms";"ms";"johtajat";1892
"3";1995;"ms";"ms";"erityisasiantuntijat";8839
"4";1995;"ms";"ms";"asiantuntijat";10559
"5";1995;"ms";"ms";"tsto & aspal tt";7726
"6";1995;"ms";"ms";"pal, myynti & hoito tt";22174
"7";1995;"ms";"ms";"maanvil & metsä tt";22876
"8";1995;"ms";"ms";"rakennus tt";2900
"9";1995;"ms";"ms";"korj & valm tt";7508
"10";1995;"ms";"ms";"pros tt";5388
"11";1995;"ms";"ms";"kulj tt";7709
"12";1995;"ms";"ms";"siivoojat & kettiö tt";5419
"13";1995;"ms";"ms";"muut tt";1096
"14";1995;"ms";"ms";NA;2144
"15";1995;"ms";"ydinms";"sotilaat";8
"16";1995;"ms";"ydinms";"johtajat";47
"17";1995;"ms";"ydinms";"erityisasiantuntijat";221
"18";1995;"ms";"ydinms";"asiantuntijat";335
"19";1995;"ms";"ydinms";"tsto & aspal tt";108
"20";1995;"ms";"ydinms";"pal, myynti & hoito tt";266
"21";1995;"ms";"ydinms";"maanvil & metsä tt";115
"22";1995;"ms";"ydinms";"rakennus tt";56
"23";1995;"ms";"ydinms";"korj & valm tt";311
"24";1995;"ms";"ydinms";"pros tt";139
"25";1995;"ms";"ydinms";"kulj tt";246
"26";1995;"ms";"ydinms";"siivoojat & kettiö tt";37
"27";1995;"ms";"ydinms";"muut tt";24
"28";1995;"ms";"ydinms";NA;34
"29";1995;"ms";"kaupms";"sotilaat";12
"30";1995;"ms";"kaupms";"johtajat";10
"31";1995;"ms";"kaupms";"erityisasiantuntijat";58
"32";1995;"ms";"kaupms";"asiantuntijat";83
"33";1995;"ms";"kaupms";"tsto & aspal tt";36
"34";1995;"ms";"kaupms";"pal, myynti & hoito tt";102
"35";1995;"ms";"kaupms";"maanvil & metsä tt";23
"36";1995;"ms";"kaupms";"rakennus tt";54
"37";1995;"ms";"kaupms";"korj & valm tt";90
"38";1995;"ms";"kaupms";"pros tt";33
"39";1995;"ms";"kaupms";"kulj tt";77
"40";1995;"ms";"kaupms";"siivoojat & kettiö tt";13
"41";1995;"ms";"kaupms";"muut tt";25
"42";1995;"ms";"kaupms";NA;10
"43";1995;"ms";"kaup";"sotilaat";12
"44";1995;"ms";"kaup";"johtajat";20
"45";1995;"ms";"kaup";"erityisasiantuntijat";72
"46";1995;"ms";"kaup";"asiantuntijat";138
"47";1995;"ms";"kaup";"tsto & aspal tt";34
"48";1995;"ms";"kaup";"pal, myynti & hoito tt";71
"49";1995;"ms";"kaup";"maanvil & metsä tt";19
"50";1995;"ms";"kaup";"rakennus tt";30
"51";1995;"ms";"kaup";"korj & valm tt";113
"52";1995;"ms";"kaup";"pros tt";50
"53";1995;"ms";"kaup";"kulj tt";74
"54";1995;"ms";"kaup";"siivoojat & kettiö tt";11
"55";1995;"ms";"kaup";"muut tt";10
"56";1995;"ms";"kaup";NA;5
"57";1995;"ms";"tkakeskus";"sotilaat";56
"58";1995;"ms";"tkakeskus";"johtajat";121
"59";1995;"ms";"tkakeskus";"erityisasiantuntijat";623
"60";1995;"ms";"tkakeskus";"asiantuntijat";963
"61";1995;"ms";"tkakeskus";"tsto & aspal tt";334
"62";1995;"ms";"tkakeskus";"pal, myynti & hoito tt";632
"63";1995;"ms";"tkakeskus";"maanvil & metsä tt";241
"64";1995;"ms";"tkakeskus";"rakennus tt";223
"65";1995;"ms";"tkakeskus";"korj & valm tt";706
"66";1995;"ms";"tkakeskus";"pros tt";413
"67";1995;"ms";"tkakeskus";"kulj tt";469
"68";1995;"ms";"tkakeskus";"siivoojat & kettiö tt";162
"69";1995;"ms";"tkakeskus";"muut tt";132
"70";1995;"ms";"tkakeskus";NA;50
"71";1995;"ms";"yokaup";"sotilaat";80
"72";1995;"ms";"yokaup";"johtajat";75
"73";1995;"ms";"yokaup";"erityisasiantuntijat";655
"74";1995;"ms";"yokaup";"asiantuntijat";865
"75";1995;"ms";"yokaup";"tsto & aspal tt";340
"76";1995;"ms";"yokaup";"pal, myynti & hoito tt";600
"77";1995;"ms";"yokaup";"maanvil & metsä tt";282
"78";1995;"ms";"yokaup";"rakennus tt";324
"79";1995;"ms";"yokaup";"korj & valm tt";493
"80";1995;"ms";"yokaup";"pros tt";220
"81";1995;"ms";"yokaup";"kulj tt";382
"82";1995;"ms";"yokaup";"siivoojat & kettiö tt";206
"83";1995;"ms";"yokaup";"muut tt";122
"84";1995;"ms";"yokaup";NA;63
