;alue;vuosi;tiedot;value
1;kaup;2006;asukkaat;736063
2;kaup;2007;asukkaat;744515
3;kaup;2008;asukkaat;752167
4;kaup;2009;asukkaat;758039
5;kaup;2010;asukkaat;763828
6;kaup;2011;asukkaat;768340
7;kaup;2012;asukkaat;772608
8;kaup;2013;asukkaat;777473
9;kaup;2014;asukkaat;780931
10;kaup;2015;asukkaat;784293
11;kaupms;2006;asukkaat;510994
12;kaupms;2007;asukkaat;517120
13;kaupms;2008;asukkaat;519758
14;kaupms;2009;asukkaat;524792
15;kaupms;2010;asukkaat;528096
16;kaupms;2011;asukkaat;531423
17;kaupms;2012;asukkaat;534445
18;kaupms;2013;asukkaat;536369
19;kaupms;2014;asukkaat;537868
20;kaupms;2015;asukkaat;539119
21;ms;2006;asukkaat;335342
22;ms;2007;asukkaat;331032
23;ms;2008;asukkaat;326875
24;ms;2009;asukkaat;323240
25;ms;2010;asukkaat;320176
26;ms;2011;asukkaat;316469
27;ms;2012;asukkaat;312723
28;ms;2013;asukkaat;309329
29;ms;2014;asukkaat;305726
30;ms;2015;asukkaat;301561
31;pk;2006;asukkaat;968837
32;pk;2007;asukkaat;977101
33;pk;2008;asukkaat;989969
34;pk;2009;asukkaat;1002826
35;pk;2010;asukkaat;1014368
36;pk;2011;asukkaat;1026722
37;pk;2012;asukkaat;1041189
38;pk;2013;asukkaat;1055984
39;pk;2014;asukkaat;1071451
40;pk;2015;asukkaat;1087915
41;tk_keskus;2006;asukkaat;912826
42;tk_keskus;2007;asukkaat;911961
43;tk_keskus;2008;asukkaat;911984
44;tk_keskus;2009;asukkaat;912501
45;tk_keskus;2010;asukkaat;913516
46;tk_keskus;2011;asukkaat;914138
47;tk_keskus;2012;asukkaat;913692
48;tk_keskus;2013;asukkaat;913232
49;tk_keskus;2014;asukkaat;911916
50;tk_keskus;2015;asukkaat;909955
51;ydinms;2006;asukkaat;693280
52;ydinms;2007;asukkaat;690041
53;ydinms;2008;asukkaat;685939
54;ydinms;2009;asukkaat;682948
55;ydinms;2010;asukkaat;679768
56;ydinms;2011;asukkaat;676408
57;ydinms;2012;asukkaat;672519
58;ydinms;2013;asukkaat;668593
59;ydinms;2014;asukkaat;664135
60;ydinms;2015;asukkaat;658283
61;yo-kaup;2006;asukkaat;1039681
62;yo-kaup;2007;asukkaat;1045302
63;yo-kaup;2008;asukkaat;1052938
64;yo-kaup;2009;asukkaat;1061795
65;yo-kaup;2010;asukkaat;1070349
66;yo-kaup;2011;asukkaat;1080047
67;yo-kaup;2012;asukkaat;1089858
68;yo-kaup;2013;asukkaat;1101612
69;yo-kaup;2014;asukkaat;1112610
70;yo-kaup;2015;asukkaat;1123362
71;kaup;2006;lahtomuuttaessa_tyollistyvia;2989
72;kaup;2007;lahtomuuttaessa_tyollistyvia;3046
73;kaup;2008;lahtomuuttaessa_tyollistyvia;2700
74;kaup;2009;lahtomuuttaessa_tyollistyvia;2208
75;kaup;2010;lahtomuuttaessa_tyollistyvia;3053
76;kaup;2011;lahtomuuttaessa_tyollistyvia;3138
77;kaup;2012;lahtomuuttaessa_tyollistyvia;2900
78;kaup;2013;lahtomuuttaessa_tyollistyvia;2560
79;kaup;2014;lahtomuuttaessa_tyollistyvia;2707
80;kaup;2015;lahtomuuttaessa_tyollistyvia;2772
81;kaupms;2006;lahtomuuttaessa_tyollistyvia;2301
82;kaupms;2007;lahtomuuttaessa_tyollistyvia;2448
83;kaupms;2008;lahtomuuttaessa_tyollistyvia;2308
84;kaupms;2009;lahtomuuttaessa_tyollistyvia;1778
85;kaupms;2010;lahtomuuttaessa_tyollistyvia;2445
86;kaupms;2011;lahtomuuttaessa_tyollistyvia;2408
87;kaupms;2012;lahtomuuttaessa_tyollistyvia;2144
88;kaupms;2013;lahtomuuttaessa_tyollistyvia;2045
89;kaupms;2014;lahtomuuttaessa_tyollistyvia;1990
90;kaupms;2015;lahtomuuttaessa_tyollistyvia;2088
91;ms;2006;lahtomuuttaessa_tyollistyvia;1637
92;ms;2007;lahtomuuttaessa_tyollistyvia;1701
93;ms;2008;lahtomuuttaessa_tyollistyvia;1507
