"vuosi";"kunta18";"amuutto_lahto";"tyopaikka_muutto_lahto";"tyollistyy_muutto_lahto";"amuutto_tulo";"tyopaikka_muutto_tulo";"tyollistyy_muutto_tulo";"tyo_muutto_lahto";"tyo_muutto_tulo"
1996;5;234;13;33;183;14;28;46;42
1996;9;72;4;6;44;NA;NA;10;4
1996;10;310;26;51;185;16;20;77;36
1996;16;287;23;25;234;17;16;48;33
1996;18;165;9;22;158;7;13;31;20
1996;19;133;9;9;101;NA;NA;18;18
1996;20;425;31;53;360;29;44;84;73
1996;35;20;NA;NA;13;NA;NA;NA;NA
1996;43;17;NA;NA;20;NA;NA;NA;NA
1996;46;103;4;11;46;NA;NA;15;4
1996;47;81;10;5;55;6;6;15;12
1996;49;7173;566;766;9526;938;1362;1332;2300
1996;50;323;29;38;270;23;36;67;59
1996;51;309;15;34;236;8;19;49;27
1996;52;79;6;11;38;NA;NA;17;7
1996;60;65;NA;NA;60;NA;NA;16;12
1996;61;800;60;94;638;44;83;154;127
1996;62;14;NA;NA;10;NA;NA;NA;NA
1996;65;NA;NA;NA;14;NA;NA;NA;NA
1996;69;203;15;32;158;11;18;47;29
1996;71;249;17;43;154;16;10;60;26
1996;72;20;NA;NA;43;4;4;NA;8
1996;74;33;NA;NA;28;NA;NA;8;9
1996;75;519;49;65;403;38;42;114;80
1996;76;26;NA;NA;51;NA;NA;7;10
1996;77;120;NA;NA;89;NA;NA;16;5
1996;78;353;32;51;177;19;32;83;51
1996;79;315;26;37;228;12;27;63;39
1996;81;129;9;15;95;4;11;24;15
1996;82;421;20;47;382;36;30;67;66
1996;86;337;12;41;332;22;30;53;52
1996;90;162;10;17;97;9;11;27;20
1996;91;15092;1080;1447;21275;1763;3695;2527;5458
1996;92;7292;459;739;7730;608;1101;1198;1709
1996;97;97;NA;NA;71;NA;NA;12;10
1996;98;1088;60;131;863;45;75;191;120
1996;99;57;5;8;41;NA;NA;13;7
1996;102;287;25;42;256;17;30;67;47
1996;103;104;5;15;76;4;7;20;11
1996;105;97;6;17;55;5;7;23;12
1996;106;1268;82;156;1247;107;182;238;289
1996;108;259;15;23;258;12;26;38;38
1996;109;1747;136;239;1793;161;193;375;354
1996;111;646;59;84;503;33;57;143;90
1996;139;225;6;34;207;9;16;40;25
1996;140;695;54;106;593;43;71;160;114
1996;142;205;11;35;199;13;14;46;27
1996;143;266;18;27;200;14;14;45;28
1996;145;338;16;62;236;9;26;78;35
1996;146;231;16;33;143;9;17;49;26
1996;148;276;26;37;200;13;27;63;40
1996;149;174;NA;NA;187;8;12;25;20
1996;151;45;NA;NA;40;NA;NA;7;8
1996;152;150;7;20;144;12;18;27;30
1996;153;903;76;110;682;57;70;186;127
1996;165;522;34;59;403;29;42;93;71
1996;167;2355;189;386;2310;145;223;575;368
1996;169;216;9;30;217;14;22;39;36
1996;170;108;NA;NA;108;5;11;16;16
1996;171;230;19;26;192;14;15;45;29
1996;172;143;8;18;150;9;15;26;24
1996;176;170;13;24;109;4;12;37;16
1996;177;75;5;7;56;4;7;12;11
1996;178;221;17;34;124;4;15;51;19
1996;179;3263;368;506;3956;310;536;874;846
1996;181;56;6;8;67;NA;NA;14;11
1996;182;601;49;73;491;45;56;122;101
1996;186;1587;122;151;1417;129;198;273;327
1996;202;1255;55;154;1091;68;99;209;167
1996;204;115;5;15;99;7;9;20;16
1996;205;1200;109;184;958;72;113;293;185
1996;208;298;15;52;160;15;23;67;38
1996;211;932;45;105;732;45;87;150;132
1996;213;143;7;28;123;4;10;35;14
1996;214;421;26;49;308;28;30;75;58
1996;216;60;NA;NA;37;NA;NA;12;5
1996;217;169;14;25;103;6;18;39;24
1996;218;38;NA;NA;26;NA;NA;7;7
1996;224;254;19;28;230;9;23;47;32
1996;226;114;7;13;92;9;14;20;23
1996;230;78;4;6;47;NA;NA;10;11
1996;231;53;NA;NA;29;NA;NA;9;6
1996;232;404;28;78;239;6;25;106;31
1996;233;433;34;65;334;25;42;99;67
1996;235;458;25;56;482;31;54;81;85
1996;236;133;14;24;82;6;9;38;15
1996;239;72;6;10;71;4;11;16;15
1996;240;808;63;126;697;41;77;189;118
1996;241;380;17;52;280;9;34;69;43
1996;244;509;36;68;419;18;53;104;71
1996;245;1422;94;133;1269;93;163;227;256
1996;249;330;21;53;258;17;26;74;43
1996;250;80;6;8;41;NA;NA;14;7
1996;256;46;NA;NA;30;NA;NA;9;6
1996;257;1225;84;144;1301;118;157;228;275
1996;260;366;18;45;225;14;19;63;33
1996;261;169;15;15;128;8;20;30;28
1996;263;294;27;32;161;10;9;59;19
1996;265;71;NA;NA;36;NA;NA;14;8
1996;271;213;12;39;183;9;16;51;25
1996;272;1039;113;167;759;66;84;280;150
1996;273;171;13;29;87;5;11;42;16
1996;275;92;4;16;62;4;8;20;12
1996;276;455;17;48;486;15;43;65;58
1996;280;27;NA;NA;37;6;9;7;15
1996;284;77;4;7;56;NA;NA;11;7
1996;285;1124;105;162;1157;107;166;267;273
1996;286;1884;183;276;1311;118;157;459;275
1996;287;193;12;41;148;16;26;53;42
1996;288;138;7;25;79;NA;NA;32;12
1996;290;314;29;42;139;11;13;71;24
1996;291;110;9;14;81;4;5;23;9
1996;295;11;NA;NA;13;NA;NA;NA;NA
1996;297;3222;317;464;3255;287;373;781;660
1996;300;131;12;22;57;NA;NA;34;11
1996;301;610;47;105;384;29;47;152;76
1996;304;32;NA;NA;25;NA;NA;4;NA
1996;305;424;31;77;262;27;30;108;57
1996;309;273;13;38;219;7;16;51;23
1996;312;38;NA;NA;30;NA;NA;10;8
1996;316;186;10;14;130;6;19;24;25
1996;317;113;9;12;34;NA;NA;21;9
1996;318;4;NA;NA;7;NA;NA;NA;NA
1996;320;409;37;54;267;21;45;91;66
1996;322;161;7;37;137;15;11;44;26
1996;398;3191;283;397;3091;252;343;680;595
1996;399;235;15;37;149;13;7;52;20
1996;400;237;19;33;132;6;18;52;24
1996;402;260;20;39;216;22;27;59;49
1996;403;91;5;20;57;NA;NA;25;7
1996;405;1750;163;261;1739;154;218;424;372
1996;407;107;5;10;83;4;9;15;13
1996;408;349;18;47;226;16;32;65;48
1996;410;492;31;57;454;26;37;88;63
1996;416;146;10;13;133;5;16;23;21
1996;417;28;NA;NA;35;NA;NA;4;8
1996;418;606;29;79;555;31;68;108;99
1996;420;319;17;51;239;13;21;68;34
1996;421;34;NA;NA;24;NA;NA;5;5
1996;422;414;26;60;192;15;15;86;30
1996;423;552;21;64;578;31;47;85;78
1996;425;188;11;24;189;17;18;35;35
1996;426;447;22;53;368;14;30;75;44
1996;430;382;34;54;358;18;40;88;58
1996;433;266;17;30;239;20;22;47;42
1996;434;419;32;51;307;20;28;83;48
1996;435;39;NA;NA;15;NA;NA;8;4
1996;436;79;NA;NA;35;NA;NA;16;6
1996;438;5;NA;NA;11;NA;NA;NA;NA
1996;440;111;5;26;77;4;11;31;15
1996;441;131;8;17;120;6;7;25;13
1996;444;1102;72;141;884;56;99;213;155
1996;445;366;32;48;293;16;47;80;63
1996;475;98;8;15;91;NA;NA;23;17
1996;478;340;12;38;351;27;56;50;83
1996;480;80;7;9;56;4;5;16;9
1996;481;326;14;26;290;12;26;40;38
1996;483;25;NA;NA;27;NA;NA;4;NA
1996;484;105;6;16;73;4;13;22;17
1996;489;60;NA;NA;48;6;10;6;16
1996;491;1430;139;227;1310;116;145;366;261
1996;494;253;12;30;172;14;31;42;45
1996;495;58;NA;NA;51;NA;NA;13;8
1996;498;78;6;19;56;NA;NA;25;9
1996;499;455;22;53;404;17;43;75;60
1996;500;296;18;41;369;27;33;59;60
1996;503;255;12;32;188;10;13;44;23
1996;504;63;4;10;43;NA;NA;14;5
1996;505;550;31;68;553;45;32;99;77
1996;507;179;12;30;161;7;8;42;15
1996;508;355;34;45;309;29;34;79;63
1996;529;626;36;54;713;53;69;90;122
1996;531;205;15;28;165;7;31;43;38
1996;535;264;20;35;175;9;22;55;31
1996;536;835;46;92;751;47;79;138;126
1996;538;153;8;13;117;6;11;21;17
1996;541;306;30;55;163;6;16;85;22
1996;543;1107;66;115;1056;86;126;181;212
1996;545;135;7;27;82;4;8;34;12
1996;560;501;25;67;380;20;39;92;59
1996;561;39;NA;NA;20;NA;NA;7;NA
1996;562;242;13;30;237;17;22;43;39
1996;563;244;23;33;165;9;28;56;37
1996;564;3435;429;510;4826;443;783;939;1226
1996;576;147;12;17;83;10;5;29;15
1996;577;394;21;53;294;22;38;74;60
1996;578;119;7;14;80;5;6;21;11
1996;580;202;17;29;135;9;11;46;20
1996;581;228;11;22;190;13;17;33;30
1996;583;41;4;7;26;NA;NA;11;6
